NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
81;3;2;7:06.834;0;;3:40.847;0;1:34.865;0;1:51.122;0;114.9;13:14.977;12:13:14.977;3:40.847;1:34.865;1:51.122;275.3;Charlie EASTWOOD;0:03:08.572;LMGT3;;TF Sport;Corvette;GF;220.847;94.865;111.122;
81;3;3;3:57.811;2;;37.241;2;1:31.702;2;1:48.868;2;206.3;17:12.788;12:17:12.788;0:37.241;1:31.702;1:48.868;283.2;Charlie EASTWOOD;;LMGT3;;TF Sport;Corvette;FF;37.241;91.702;108.868;
83;1;1;4:42.861;0;;1:12.174;0;1:26.196;0;2:04.491;0;171.6;4:42.861;12:04:42.861;1:12.174;1:26.196;2:04.491;315.4;Robert KUBICA;0:00:31.626;HYPERCAR;H;AF Corse;Ferrari;FCY;72.174;86.196;124.491;
83;1;2;4:21.632;0;;1:22.890;0;1:21.679;0;1:37.063;0;187.5;9:04.493;12:09:04.493;1:22.890;1:21.679;1:37.063;329.8;Robert KUBICA;;HYPERCAR;H;AF Corse;Ferrari;GF;82.890;81.679;97.063;
83;1;3;3:26.908;3;;32.774;0;1:19.460;0;1:34.674;2;237.1;12:31.401;12:12:31.401;0:32.774;1:19.460;1:34.674;338.1;Robert KUBICA;;HYPERCAR;H;AF Corse;Ferrari;GF;32.774;79.460;94.674;
83;1;4;3:34.608;0;B;32.674;3;1:19.420;2;1:42.514;0;228.6;16:06.009;12:16:06.009;0:32.674;1:19.420;1:42.514;336.0;Robert KUBICA;;HYPERCAR;H;AF Corse;Ferrari;FF;32.674;79.420;102.514;
85;2;1;6:30.677;0;;1:41.655;0;1:40.951;0;3:08.071;0;124.2;6:30.677;12:06:30.677;1:41.655;1:40.951;3:08.071;184.0;Rahel FREY;0:00:57.142;LMGT3;;Iron Dames;Porsche;GF;101.655;100.951;188.071;
85;2;2;4:03.400;0;;38.926;0;1:33.488;0;1:50.986;0;201.5;10:34.077;12:10:34.077;0:38.926;1:33.488;1:50.986;286.2;Rahel FREY;;LMGT3;;Iron Dames;Porsche;GF;38.926;93.488;110.986;
85;2;3;3:59.857;2;;38.022;0;1:32.416;0;1:49.419;2;204.5;14:33.934;12:14:33.934;0:38.022;1:32.416;1:49.419;289.3;Rahel FREY;;LMGT3;;Iron Dames;Porsche;GF;38.022;92.416;109.419;
85;2;4;3:59.896;0;;37.451;2;1:32.098;2;1:50.347;0;204.5;18:33.830;12:18:33.830;0:37.451;1:32.098;1:50.347;286.9;Rahel FREY;;LMGT3;;Iron Dames;Porsche;FF;37.451;92.098;110.347;
87;3;1;7:47.482;0;;3:04.181;0;2:46.390;1;1:56.911;2;103.8;7:47.482;12:07:47.482;3:04.181;2:46.390;1:56.911;238.3;Clemens SCHMID;0:02:22.919;LMGT3;;Akkodis ASP Team;Lexus;GF;184.181;166.390;116.911;
87;3;2;4:05.250;0;B;37.247;2;1:32.193;0;1:55.810;0;200.0;11:52.732;12:11:52.732;0:37.247;1:32.193;1:55.810;278.8;Clemens SCHMID;;LMGT3;;Akkodis ASP Team;Lexus;GF;37.247;92.193;115.810;
87;1;3;5:17.758;0;B;1:47.317;0;1:33.180;2;1:57.261;0;154.4;17:10.490;12:17:10.490;1:47.317;1:33.180;1:57.261;285.4;Petru UMBRARESCU;0:01:19.171;LMGT3;;Akkodis ASP Team;Lexus;FF;107.317;93.180;117.261;
88;3;1;7:11.204;0;B;2:05.982;0;1:39.339;0;3:25.883;0;112.6;7:11.204;12:07:11.204;2:05.982;1:39.339;3:25.883;258.8;Dennis OLSEN;0:01:23.290;LMGT3;;Proton Competition;Ford;GF;125.982;99.339;205.883;
88;3;2;5:08.989;0;B;1:34.354;0;1:35.298;0;1:59.337;0;158.8;12:20.193;12:12:20.193;1:34.354;1:35.298;1:59.337;282.5;Dennis OLSEN;0:01:04.598;LMGT3;;Proton Competition;Ford;GF;94.354;95.298;119.337;
